1 R X Red Line,Atr Track Back (After Atr),Atr Track Back (Multiplier),Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Close Date,Close Time,Commission,Duration,Entry Candle Size And Color,Entry Price,Executions,Exit Price,Gold Candle,Gross P&L,Trade Risk,Initial Target,Instrument,Spread Type,"M5, M30, 1 H",Macd Condition,Max Tp (Atr Multiplier),Mistakes,Net P&L,Net ROI,Open Date,Open Time,Pips,Reward Ratio,Playbook,Points,Position MAE,Position MFE,Price MAE,Price MFE,Rsi Position,Realized RR,Return Per Pip,Reviewed,Sl Track Back Behind Redline,Setups,Side,Status,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Type Of Trades,Quantity,Zella Score
win win,0 pips (within atr range),0.5x,Backtesting,87916.99,87802.192,2313.605,2310.584,0.13,87916.99,0.0,1970-01-01 00:00:00 UTC,2024-06-12,21:25:56 EDT,0.0,56.001,"",2313.605,2,2310.584,< 200 breakout,114.798,-116.052,114.798,XAUUSD,forex,"same, diff, diff",after xnx few bars breakout,1.0x,"",114.798,0.00130746,2024-06-12,21:24:59 EDT,302.1,0.9891945,s1 SR Breakout,,-17.86,127.186,2314.075,2310.258,long breakout center crossed down,0.9891945,0.38,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.38,90.25993427
win win,0 pips (within atr range),0.5x,Backtesting,64779.54,64624.056,2313.555,2308.002,,,,,2024-06-13,07:39:42 EDT,0.0,1482.001,"",2313.555,2,2308.002,200 - 300 reverse,155.484,-129.164,155.484,XAUUSD,forex,"same, same, diff",divergence cross m5,2.1x,"",155.484,0.00240598,2024-06-13,07:14:59 EDT,555.3,1.20377195,s1 SR Reverse,,,,,,short reverse overbought crossed down,1.20377195,0.28,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.28,
win lose,0 pips (within atr range),0.5x,Backtesting,41789.61,41715.927,2321.645,2317.5515,,,,,2024-06-17,03:31:59 EDT,0.0,8820.0,"",2321.645,3,2319.208,< 200 breakout,73.683,0.0,154.548,XAUUSD,forex,"same, same, diff",before xnx or cross,2.8x,"",73.683,0.0017663,2024-06-17,01:04:59 EDT,409.35,,s2 SR Breakout + Ichimoku Cloud 2 Reverse,,,,,,short breakout overbought crossed down,,0.18,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41614.47,41733.324,2311.915,2318.518,,,,,2024-06-17,14:41:13 EDT,0.0,10873.001,"",2311.915,2,2318.518,< 200 breakout,-118.854,-118.854,154.602,XAUUSD,forex,"same, same, same",fast cross slow m15,-1,"",-118.854,-0.00284794,2024-06-17,11:39:59 EDT,-660.3,1.30077238,s2 Ichimoku Cloud 2 Reverse + MACD Near 0 Line Fast Cross Slow M15,,,,,,short reverse center otw,-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41547.87,41640.606,2308.215,2313.367,,,,,2024-06-18,07:51:30 EDT,0.0,4290.001,"",2308.215,2,2313.367,< 200 breakout,-92.736,-92.736,92.646,XAUUSD,forex,"same, same, same",far from zero m15 line,-1,"",-92.736,-0.00222706,2024-06-18,06:39:59 EDT,-515.2,0.9990295,s1 SR Breakout,,,,,,short breakout center before cross down,-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
"","","",Backtesting,41852.79,41926.806,2325.155,2329.267,,,,,2024-06-19,08:52:31 EDT,0.0,751.001,"",2325.155,2,2329.267,"",-74.016,-74.016,334.854,XAUUSD,forex,"","","","",-74.016,-0.00176536,2024-06-19,08:39:59 EDT,-411.2,4.52407588,s1 SR Breakout,,,,,,"",-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41947.11,41877.864,2330.395,2326.548,,,,,2024-06-19,08:32:10 EDT,0.0,2290.001,"",2330.395,2,2326.548,200 - 300 reverse,-69.246,-69.246,80.496,XAUUSD,forex,"diff, same, same",before xnx or cross,-1,"",-69.246,-0.00165079,2024-06-19,07:53:59 EDT,-384.7,1.16246426,s1 SR Reverse,,,,,,long reverse center otw,-1.0,0.18,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,93343.0,93506.96,2333.575,2337.674,,,,,2024-06-20,00:27:18 EDT,0.0,6138.001,"",2333.575,2,2337.674,< 200 reverse,-163.96,-163.96,165.04,XAUUSD,forex,"diff, diff, diff",after cross few bars reverse,-1,"",-163.96,-0.00175345,2024-06-19,22:44:59 EDT,-409.9,1.00658697,s1 SR Reverse,,,,,,short reverse overbought crossed down,-1.0,0.4,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.4,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,93716.72,93584.24,2342.918,2339.606,,,,,2024-06-20,03:48:32 EDT,0.0,5432.001,"",2342.918,2,2339.606,< 200 breakout,-132.48,-132.48,316.08,XAUUSD,forex,"same, same, same",far from zero m15 line,-1,"",-132.48,-0.00141362,2024-06-20,02:17:59 EDT,-331.2,2.38586957,s1 SR Breakout,,,,,,long breakout overbought crossed down,-1.0,0.4,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.4,
win win,0 pips (within atr range),0.5x,Backtesting,93499.4,93649.8,2337.485,2341.245,,,,,2024-06-20,01:47:59 EDT,0.0,4740.0,"",2337.485,2,2341.245,< 200 breakout,150.4,0.0,416.76,XAUUSD,forex,"same, same, same",fast cross slow m15,1.6x,"",150.4,0.00160857,2024-06-20,00:28:59 EDT,376.0,,"",,,,,,long breakout center crossed up,,0.4,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.4,
win win,0 pips (within atr range),0.5x,Backtesting,93567.0,93351.12,2339.175,2333.778,,,,,2024-06-20,04:35:59 EDT,0.0,2700.0,"",2339.175,2,2333.778,200 - 300 reverse,215.88,0.0,273.96,XAUUSD,forex,"diff, same, same",divergence cross m15,2.1x,"",215.88,0.00231256,2024-06-20,03:50:59 EDT,539.7,,s1 SR Reverse,,,,,,short breakout center otw,,0.4,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.4,
win lose,0 pips (within atr range),0.5x,Backtesting,93895.52,94229.56,2347.388,2355.739,,,,,2024-06-20,11:14:38 EDT,0.0,4718.001,"",2347.388,3,2358.083,< 200 breakout,334.04,0.0,1266.68,XAUUSD,forex,"same, same, same",after cross few bars breakout,4.2x,"",334.04,0.00355757,2024-06-20,09:55:59 EDT,835.1,,s1 SR Breakout,,,,,,breakout rsi at the end (0 or 100),,0.4,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.4,
win lose,501 - 600 points (5.1 - 6.0 for xausd),2.3x,Backtesting,42072.804,42009.102,2337.378,2333.839,,,,,2024-06-19,22:34:00 EDT,0.0,2640.001,"",2337.378,2,2333.839,< 200 breakout,-63.702,-63.702,74.034,XAUUSD,forex,"same, same, same",after cross few bars breakout,3.8x,"",-63.702,-0.00151409,2024-06-19,21:49:59 EDT,-353.9,1.16219271,"",,,,,,long breakout overbought before cross down,-1.0,0.18,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
win win,0 pips (within atr range),0.5x,Backtesting,46189.9,46263.51,2309.495,2313.1755,,,,,2024-06-11,08:20:43 EDT,0.0,943.001,"",2309.495,3,2314.486,< 200 breakout,73.61,0.0,99.82,XAUUSD,forex,"same, same, diff",fast cross slow m5,1.6x,"",73.61,0.00159364,2024-06-11,08:04:59 EDT,368.05,,s3 SR Breakout + Ichimoku Cloud 1 Reverse + MACD Near 0 Line Fast Cross Slow M5,,,,,,long breakout center crossed up,,0.2,false,< 100 points,"",long,Win,XAUUSD,,,0.0,0.0,,"",0.2,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,42013.35,41947.524,2334.075,2330.418,,,,,2024-06-19,05:06:48 EDT,0.0,3408.001,"",2334.075,2,2330.418,200 - 300 breakout,-65.826,-65.826,66.42,XAUUSD,forex,"same, same, same",after cross few bars breakout,-1,"",-65.826,-0.00156679,2024-06-19,04:09:59 EDT,-365.7,1.00902379,s1 SR Breakout,,,,,,breakout rsi at the end (0 or 100),-1.0,0.18,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
win second win if no breakeven,201 - 300 points (2.1 - 3.0 for xausd),0.9x,Backtesting,93491.0,93529.4,2337.275,2338.235,,,,,2024-06-20,08:15:00 EDT,0.0,6300.001,"",2337.275,3,2337.492,200 - 300 reverse,38.4,0.0,329.52,XAUUSD,forex,"diff, same, same",before xnx or cross,3.4x,"",38.4,0.00041073,2024-06-20,06:29:59 EDT,96.0,,"",,,,,,long reverse center otw,,0.4,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.4,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41837.85,41921.064,2324.325,2328.948,,,,,2024-06-19,11:52:22 EDT,0.0,6442.001,"",2324.325,2,2328.948,< 200 breakout,-83.214,-83.214,319.914,XAUUSD,forex,"same, diff, same",fast cross slow m15,-1,"",-83.214,-0.00198502,2024-06-19,10:04:59 EDT,-462.3,3.84447329,s1 SR Breakout,,,,,,short breakout overbought crossed down,-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41852.79,41925.996,2325.155,2329.222,,,,,2024-06-19,08:52:31 EDT,0.0,751.001,"",2325.155,2,2329.222,< 200 breakout,-73.206,-73.206,334.98,XAUUSD,forex,"same, diff, same",after xnx few bars breakout,-1,"",-73.206,-0.00174608,2024-06-19,08:39:59 EDT,-406.7,4.57585444,s1 SR Breakout,,,,,,short breakout center crossed down,-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,64892.66,64766.548,2317.595,2313.091,,,,,2024-06-13,07:06:03 EDT,0.0,6663.001,"",2317.595,2,2313.091,< 200 breakout,-126.112,-126.112,144.228,XAUUSD,forex,"same, same, same",xnx m15,-1,"",-126.112,-0.00194339,2024-06-13,05:14:59 EDT,-450.4,1.14365009,s2 SR Breakout + MACD xnx M15,,,,,,long breakout center crossed up,-1.0,0.28,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.28,
win lose,10 - 100 points (0.1 - 1.0 for xauusd),0.8x,Backtesting,41926.95,41983.542,2329.275,2332.419,51.37,110.16,2335.455,2024-06-14 17:30:00 UTC,2024-06-14,08:09:08 EDT,0.0,6248.001,"",2329.275,3,2329.503,< 200 breakout,56.592,0.0,219.87,XAUUSD,forex,"same, same, same",far from zero m15 line,2.7x,"",56.592,0.00134978,2024-06-14,06:24:59 EDT,314.4,,s1 SR Breakout,,-59.346,120.24,2325.978,2336.575,long breakout center otw,,0.18,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.18,47.06586826
win win,101 - 200 points (1.1 - 2.0 for xausd),1.5x,Backtesting,64751.82,64873.928,2312.565,2316.926,18.16,672.28,2336.575,2024-06-14 11:00:00 UTC,2024-06-14,04:03:08 EDT,0.0,3788.001,"",2312.565,2,2316.926,< 200 breakout,122.108,0.0,122.108,XAUUSD,forex,"same, same, same",after cross few bars breakout,2.0x,"",122.108,0.00188578,2024-06-14,02:59:59 EDT,436.1,,s1 Ichimoku Cloud 2 Breakout,,-92.4,132.44,2309.265,2317.295,breakout rsi at the end (0 or 100),,0.28,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.28,92.1987315
lose lose,301 - 400 points (3.1 - 4.0 for xausd),1.8x,Backtesting,64993.18,64856.512,2321.185,2316.304,,,,,2024-06-14,04:44:45 EDT,0.0,2085.001,"",2321.185,2,2316.304,200 - 300 breakout,-136.668,-136.668,148.736,XAUUSD,forex,"same, diff, diff",after cross few bars breakout,2.4x,"",-136.668,-0.00210281,2024-06-14,04:09:59 EDT,-488.1,1.08830158,s1 SR Breakout,,,,,,long breakout overbought before cross down,-1.0,0.28,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.28,
"","","",Backtesting,41837.85,41922.216,2324.325,2329.012,,,,,2024-06-19,11:52:28 EDT,0.0,6448.001,"",2324.325,2,2329.012,"",-84.366,-84.366,318.762,XAUUSD,forex,"","","","",-84.366,-0.00201244,2024-06-19,10:04:59 EDT,-468.7,3.77832302,s1 SR Breakout,,,,,,"",-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,94701.0,94501.84,2367.525,2362.546,,,,,2024-06-21,06:04:47 EDT,0.0,5687.001,"",2367.525,2,2362.546,200 - 300 breakout,-199.16,-199.16,195.2,XAUUSD,forex,"same, same, same",fast cross slow m15,-1,"",-199.16,-0.00210304,2024-06-21,04:29:59 EDT,-497.9,0.98011649,s1 SR Breakout,,,,,,long breakout center otw,-1.0,0.4,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.4,
win win,101 - 200 points (1.1 - 2.0 for xausd),1.7x,Backtesting,100082.414,100302.359,2327.498,2332.613,,,,,2024-06-24,09:32:31 EDT,0.0,6451.001,"",2327.498,2,2332.613,200 - 300 breakout,219.945,-195.005,219.945,XAUUSD,forex,"diff, same, same",before xnx or cross,2.0x,"",219.945,0.00219764,2024-06-24,07:44:59 EDT,511.5,1.12789416,s1 Ichimoku Cloud 2 Breakout,,,,,,long breakout oversold crossed up,1.12789416,0.43,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.43,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,105095.925,104896.53,2335.465,2331.034,,,,,2024-06-25,07:26:24 EDT,0.0,4284.001,"",2335.465,2,2331.034,200 - 300 breakout,-199.395,-199.395,196.785,XAUUSD,forex,"same, same, diff",cross zero line few bars,-1,"",-199.395,-0.00189727,2024-06-25,06:14:59 EDT,-443.1,0.9869104,s1 SR Breakout,,,,,,breakout rsi at the end (0 or 100),-1.0,0.45,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.45,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,99497.055,99693.264,2313.885,2318.448,,,,,2024-06-25,22:18:13 EDT,0.0,2293.001,"",2313.885,2,2318.448,450 - 500 breakout,-196.209,-196.209,197.972,XAUUSD,forex,"same, same, same","before xnx or cross, fast cross slow m5",-1,"",-196.209,-0.00196813,2024-06-25,21:39:59 EDT,-456.3,1.00898532,s1 SR Breakout,,,,,,short breakout center otw,-1.0,0.43,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.43,
win win,0 pips (within atr range),0.5x,Backtesting,176761.94,176567.532,2325.815,2323.257,,,,,2024-06-24,21:46:45 EDT,0.0,405.001,"",2325.815,2,2323.257,< 200 breakout,194.408,-200.564,194.408,XAUUSD,forex,"same, diff, same",after xnx few bars breakout,1.5x,"",194.408,0.00110104,2024-06-24,21:39:59 EDT,255.8,0.96930656,s2 SR Breakout + Ichimoku Cloud 2 Breakout,,,,,,short breakout oversold before cross up,0.96930656,0.76,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.76,
win win,0 pips (within atr range),0.5x,Backtesting,131898.456,131697.816,2314.008,2310.488,,,,,2024-06-26,02:04:19 EDT,0.0,1219.001,"",2314.008,2,2310.488,200 - 300 reverse,200.64,-199.785,200.64,XAUUSD,forex,"same, same, same",after xnx few bars reverse,1.5x,"",200.64,0.00152349,2024-06-26,01:43:59 EDT,352.0,1.0042796,s1 Ichimoku Cloud 1 Reverse,,,,,,short reverse center otw,1.0042796,0.57,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.57,
win win,0 pips (within atr range),0.5x,Backtesting,85472.146,85272.42,2310.058,2304.66,,,,,2024-06-26,09:11:00 EDT,0.0,660.001,"",2310.058,2,2304.66,450 - 500 reverse,199.726,-202.612,199.726,XAUUSD,forex,"same, same, same",before xnx or cross,1.6x,"",199.726,0.00234221,2024-06-26,08:59:59 EDT,539.8,0.98575603,s1 Ichimoku Cloud 2 Reverse,,,,,,short reverse overbought crossed down,0.98575603,0.37,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.37,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,94656.495,94855.591,2308.695,2313.551,,,,,2024-06-26,07:50:31 EDT,0.0,5131.001,"",2308.695,2,2313.551,200 - 300 breakout,-199.096,-199.096,218.202,XAUUSD,forex,"same, same, same",fast cross slow m15,-1,"",-199.096,-0.00209894,2024-06-26,06:24:59 EDT,-485.6,1.09596376,s1 SR Breakout,,,,,,short breakout center otw,-1.0,0.41,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.41,
win lose,401 - 500 points (4.1 - 5.0 for xausd),1.1x,Backtesting,23407.75,23509.19,2340.775,2350.919,73.56,137.9,2354.565,2024-06-03 17:00:00 UTC,2024-06-03,13:02:10 EDT,0.0,6250.001,"",2340.775,2,2350.919,> 600 breakout,101.44,0.0,101.44,XAUUSD,forex,"same, same, diff",after cross few bars breakout,3.9x,"",101.44,0.00433361,2024-06-03,11:17:59 EDT,1014.4,,s1 SR Breakout,,0.0,137.9,2340.775,2354.565,long breakout center otw,,0.1,false,100 - 200 points,so1 breakout redline,long,Win,XAUUSD,,,0.0,0.0,,market,0.1,73.56055112
win second win if no breakeven,0 pips (within atr range),0.8x,Backtesting,23349.95,23317.45,2334.995,2331.745,,,,,2024-06-04,05:19:59 EDT,0.0,3900.0,"",2334.995,2,2331.745,< 200 breakout,32.5,0.0,0.0,XAUUSD,forex,"same, diff, diff",after cross few bars breakout,3.7x,"",32.5,0.00139381,2024-06-04,04:14:59 EDT,325.0,,s1 Ichimoku Cloud 2 Breakout,,,,,,breakout rsi at the end (0 or 100),,0.1,false,100 - 200 points,so1 breakout cloud 2,short,Win,XAUUSD,,,0.0,0.0,,"",0.1,
win win,101 - 200 points (1.1 - 2.0 for xausd),1.6x,Backtesting,23346.38,23348.28,2334.638,2334.828,,,,,2024-06-05,08:28:59 EDT,0.0,5940.0,"",2334.638,2,2334.828,300 - 350 reverse,1.9,-61.48,69.2,XAUUSD,forex,"same, same, diff",fast cross slow m15,2.6x,"",1.9,0.00008138,2024-06-05,06:49:59 EDT,19.0,1.12556929,s2 Ichimoku Cloud 1 Reverse + MACD Near 0 Line Fast Cross Slow M15,,,,,,long breakout center crossed up,0.03090436,0.1,false,"",so1 reverse cloud 1,long,Win,XAUUSD,,,0.0,0.0,,"",0.1,
win second win if no breakeven,10 - 100 points (0.1 - 1.0 for xauusd),0.7x,Backtesting,23653.78,23694.33,2365.378,2369.433,,,,,2024-06-05,21:31:01 EDT,0.0,601.001,"",2365.378,2,2369.433,< 200 breakout,40.55,-44.02,40.55,XAUUSD,forex,"same, same, same",fast cross slow m15,3.4x,"",40.55,0.00171431,2024-06-05,21:20:59 EDT,405.5,0.92117219,s2 SR Breakout + MACD Near 0 Line Fast Cross Slow M15,,,,,,long breakout center otw,0.92117219,0.1,false,< 100 points,so1 breakout redline,long,Win,XAUUSD,,,0.0,0.0,,"",0.1,
"","","",Backtesting,23653.78,23693.45,2365.378,2369.345,,,,,2024-06-05,21:31:01 EDT,0.0,601.001,"",2365.378,2,2369.345,"",39.67,-44.02,39.67,XAUUSD,forex,"","","","",39.67,0.00167711,2024-06-05,21:20:59 EDT,396.7,0.90118128,s2 SR Breakout + MACD Near 0 Line Fast Cross Slow M15,,,,,,"",0.90118128,0.1,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.1,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,23396.88,23349.4,2339.688,2334.94,,,,,2024-06-05,02:10:25 EDT,0.0,3925.0,"",2339.688,2,2334.94,< 200 breakout,-47.48,-47.48,47.32,XAUUSD,forex,"same, same, diff",far from zero m15 line,-1,"",-47.48,-0.00202933,2024-06-05,01:05:00 EDT,-474.8,0.99663016,s1 SR Breakout,,,,,,long breakout overbought before cross down,-1.0,0.1,false,> 1000 points,so1 breakout redline,long,Loss,XAUUSD,,,0.0,0.0,,"",0.1,
win second win if no breakeven,10 - 100 points (0.1 - 1.0 for xauusd),1.3x,Backtesting,23680.18,23676.36,2368.018,2367.636,,,,,2024-06-06,03:01:00 EDT,0.0,10560.001,"",2368.018,2,2367.636,< 200 reverse,3.82,0.0,87.15,XAUUSD,forex,"diff, same, same",divergence cross m15,1.7x,"",3.82,0.00016134,2024-06-06,00:04:59 EDT,38.2,,s2 SR Reverse + MACD Divergence Fast Line Crossed Slow Line,,,,,,short reverse center otw,,0.1,false,< 100 points,so1 reverse redline,short,Win,XAUUSD,,,0.0,0.0,,"",0.1,
win win,10 - 100 points (0.1 - 1.0 for xauusd),0.5x,Backtesting,23467.98,23373.12,2346.798,2337.312,,,,,2024-06-07,06:24:15 EDT,0.0,6255.001,"",2346.798,3,2333.889,400 - 450 breakout,94.86,0.0,129.09,XAUUSD,forex,"same, same, diff",after xnx few bars breakout,2.4x,"",94.86,0.00405851,2024-06-07,04:39:59 EDT,948.6,,s1 SR Breakout,,,,,,short breakout oversold before cross up,,0.1,false,"",so1 breakout redline,short,Win,XAUUSD,,,0.0,0.0,,"",0.1,
win win,10 - 100 points (0.1 - 1.0 for xauusd),0.5x,Backtesting,23817.58,23836.325,2381.758,2383.6325,,,,,2024-06-07,01:14:38 EDT,0.0,3578.001,"",2381.758,3,2381.95,< 200 breakout,18.745,0.0,130.8,XAUUSD,forex,"same, same, same",after cross few bars breakout,2.1x,"",18.745,0.00078702,2024-06-07,00:14:59 EDT,187.45,,s1 SR Breakout,,,,,,long breakout overbought before cross down,,0.1,false,< 100 points,so1 breakout redline,long,Win,XAUUSD,,,0.0,0.0,,"",0.1,
win lose,101 - 200 points (1.1 - 2.0 for xausd),1.7x,Backtesting,46099.5,46218.44,2304.975,2310.922,,,,,2024-06-10,12:24:16 EDT,0.0,15856.001,"",2304.975,2,2310.922,200 - 300 breakout,118.94,-118.92,118.94,XAUUSD,forex,"same, diff, same",after xnx few bars breakout,2.9x,"",118.94,0.00258007,2024-06-10,07:59:59 EDT,594.7,1.00016818,s2 SR Breakout + Ichimoku Cloud 2 Breakout,,,,,,long breakout overbought before cross down,1.00016818,0.2,false,400 - 500 points,"",long,Win,XAUUSD,,,0.0,0.0,,"",0.2,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,46047.7,46144.84,2302.385,2307.242,,,,,2024-06-11,06:20:54 EDT,0.0,3054.001,"",2302.385,2,2307.242,200 - 300 reverse,-97.14,-97.14,95.1,XAUUSD,forex,"diff, diff, diff",before xnx or cross,-1,"",-97.14,-0.00210511,2024-06-11,05:29:59 EDT,-485.7,0.97899938,s1 Ichimoku Cloud 2 Reverse,,,,,,short reverse center otw,-1.0,0.2,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.2,
lose lose,401 - 500 points (4.1 - 5.0 for xausd),-1 lost trade,Backtesting,88025.67,87853.264,2316.465,2311.928,,,,,2024-06-11,09:15:39 EDT,0.0,2439.001,"",2316.465,2,2311.928,200 - 300 breakout,-172.406,-172.406,433.922,XAUUSD,forex,"same, same, same",after xnx few bars breakout,-1,"",-172.406,-0.00195859,2024-06-11,08:34:59 EDT,-453.7,2.51686136,s1 SR Breakout,,,,,,long breakout overbought before cross down,-1.0,0.38,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.38,
